Time - Voltage	Amplitude - Voltage
0	3.19585
0.000488	1.55267
0.000977	-0.634756
0.001465	-2.61733
0.001953	-3.71025
0.002441	-3.53144
0.00293	-2.14836
0.003418	-0.0390271
0.003906	2.07512
0.004395	3.46608
0.004883	3.64901
0.005371	2.56458
0.005859	0.590063
0.006348	-1.59981
0.006836	-3.25325
0.007324	-3.79404
0.007812	-3.03605
0.008301	-1.2468
0.008789	0.961044
0.009277	2.83089
0.009766	3.71213
0.010254	3.30312
0.010742	1.74831
0.01123	-0.417454
0.011719	-2.45414
0.012207	-3.65657
0.012695	-3.60693
0.013184	-2.32594
0.013672	-0.25731
0.01416	1.89021
0.014648	3.37908
0.015137	3.69002
0.015625	2.71903
0.016113	0.804642
0.016602	-1.39809
0.01709	-3.13385
0.017578	-3.79848
0.018066	-3.16311
0.018555	-1.4512
0.019043	0.748004
0.019531	2.68225
0.02002	3.68147
0.020508	3.39934
0.020996	1.93701
0.021484	-0.199257
0.021973	-2.28201
0.022461	-3.59064
0.022949	-3.67018
0.023437	-2.49562
0.023926	-0.475678
0.024414	1.69846
0.024902	3.27934
0.025391	3.71723
0.025879	2.86358
0.026367	1.01641
0.026855	-1.19182
0.027344	-3.00437
0.027832	-3.791
0.02832	-3.2796
0.028809	-1.6513
0.029297	0.532898
0.029785	2.52596
0.030273	3.6384
0.030762	3.48397
0.03125	2.12098
0.031738	0.0197188
0.032227	-2.10188
0.032715	-3.51263
0.033203	-3.72043
0.033691	-2.6564
0.03418	-0.692399
0.034668	1.50117
0.035156	3.16912
0.035645	3.73285
0.036133	2.99839
0.036621	1.22453
0.037109	-0.981396
0.037598	-2.86423
0.038086	-3.7708
0.038574	-3.38511
0.039062	-1.8458
0.039551	0.314971
0.040039	2.35989
0.040527	3.58226
0.041016	3.55644
0.041504	2.29647
0.041992	0.238134
0.04248	-1.91582
0.042969	-3.42299
0.043457	-3.75869
0.043945	-2.80887
0.044434	-0.905883
0.044922	1.29849
0.04541	3.04788
0.045898	3.73533
0.046387	3.12365
0.046875	1.42864
0.047363	-0.768284
0.047852	-2.71445
0.04834	-3.7366
0.048828	-3.47887
0.049316	-2.03428
0.049805	0.0971667
0.050293	2.1869
0.050781	3.5142
0.05127	3.6175
0.051758	2.46445
0.052246	0.455751
0.052734	-1.72247
0.053223	-3.32157
0.053711	-3.7838
0.054199	-2.95216
0.054687	-1.11722
0.055176	1.09111
0.055664	2.91611
0.056152	3.72498
0.056641	3.23727
0.057129	1.62712
0.057617	-0.552465
0.058105	-2.5565
0.058594	-3.69139
0.059082	-3.5614
0.05957	-2.21624
0.060059	-0.121905
0.060547	2.00595
0.061035	3.43403
0.061523	3.66572
0.062012	2.6237
0.0625	0.671785
0.062988	-1.52347
0.063477	-3.20939
0.063965	-3.79678
0.064453	-3.08548
0.064941	-1.32483
0.06543	0.88083
0.065918	2.77515
0.066406	3.70226
0.066895	3.34118
0.067383	1.82005
0.067871	-0.335294
0.068359	-2.38935
0.068848	-3.63306
0.069336	-3.63191
0.069824	-2.39033
0.070312	-0.339881
0.070801	1.8185
0.071289	3.34253
0.071777	3.70136
0.072266	2.77459
0.072754	0.884811
0.073242	-1.32081
0.07373	-3.0864
0.074219	-3.79738
0.074707	-3.20844
0.075195	-1.52761
0.075684	0.665802
0.076172	2.62365
0.07666	3.66673
0.077148	3.43237
0.077637	2.00781
