Time - Voltage (Resampled)	Amplitude - Voltage (Resampled)
0	3.71863
0.001	1.1171
0.002	-2.92714
0.003	-3.14218
0.004	0.702181
0.005	3.56152
0.006	1.71459
0.007	-2.38814
0.008	-3.37696
0.009	0.026732
0.01	3.35667
0.011	2.24754
0.012	-1.84199
0.013	-3.55741
0.014	-0.635084
0.015	3.10885
0.016	2.75612
0.017	-1.25744
0.018	-3.69448
0.019	-1.32302
0.02	2.7922
0.021	3.24795
0.022	-0.582201
0.023	-3.63687
0.024	-1.94834
0.025	2.22248
0.026	3.42236
0.027	0.115694
0.028	-3.35298
0.029	-2.44605
0.03	1.62534
0.031	3.52763
0.032	0.770048
0.033	-3.03532
0.034	-2.89412
0.035	1.01849
0.036	3.58657
0.037	1.42142
0.038	-2.6674
0.039	-3.31996
0.04	0.360283
0.041	3.58822
0.042	2.09003
0.043	-2.1638
0.044	-3.57982
0.045	-0.352213
0.046	3.26557
0.047	2.5548
0.048	-1.51241
0.049	-3.61129
0.05	-1.00451
0.051	2.87582
0.052	2.94712
0.053	-0.877078
0.054	-3.59067
0.055	-1.62394
0.056	2.45425
0.057	3.29847
0.058	-0.221565
0.059	-3.52059
0.06	-2.24704
0.061	1.96814
0.062	3.6198
0.063	0.490622
0.064	-3.29025
0.065	-2.77116
0.066	1.31148
0.067	3.61056
0.068	1.14627
0.069	-2.82544
0.07	-3.10915
0.071	0.643411
0.072	3.51088
0.073	1.73817
0.074	-2.34594
0.075	-3.38979
0.076	-0.0148712
0.077	3.36693
0.078	2.30734
0.079	-1.82724
0.08	-3.63178
0.081	-0.704054
0.082	3.15908
0.083	2.88032
0.084	-1.21443
0.085	-3.72237
0.086	-1.38597
0.087	2.69113
0.088	3.18537
0.089	-0.508885
0.09	-3.54426
0.091	-1.95572
0.092	2.15024
0.093	3.39646
0.094	0.156964
0.095	-3.32416
0.096	-2.47618
0.097	1.59455
0.098	3.56027
0.099	0.823248
0.1	-3.05517
0.101	-2.97954
0.102	0.987487
0.103	3.67749
0.104	1.52685
0.105	-2.66611
0.106	-3.37064
0.107	0.283168
0.108	3.49393
0.109	2.08339
0.11	-2.06118
0.111	-3.5162
0.112	-0.396312
0.113	3.19667
0.114	2.55861
0.115	-1.46316
0.116	-3.60224
0.117	-1.04479
0.118	2.86413
0.119	2.99528
0.12	-0.842646
0.121	-3.64219
0.122	-1.70215
0.123	2.46989
0.124	3.41244
0.125	-0.157477
0.126	-3.55697
0.127	-2.31431
0.128	1.885
0.129	3.55028
0.13	0.539818
0.131	-3.18102
0.132	-2.74872
0.133	1.24126
0.134	3.56027
0.135	1.17604
0.136	-2.78057
0.137	-3.12206
0.138	0.603461
0.139	3.52268
0.14	1.79209
0.141	-2.34049
0.142	-3.46267
0.143	-0.0679691
0.144	3.42815
0.145	2.42043
0.146	-1.81598
0.147	-3.6983
0.148	-0.778737
0.149	3.08177
0.15	2.85118
0.151	-1.12158
0.152	-3.63132
0.153	-1.40718
0.154	2.61181
0.155	3.16391
0.156	-0.460752
0.157	-3.51474
0.158	-1.98712
0.159	2.12191
0.16	3.42877
0.161	0.203415
0.162	-3.35089
0.163	-2.55535
0.164	1.5805
0.165	3.65595
0.166	0.911199
0.167	-3.09368
0.168	-3.06055
0.169	0.913582
0.17	3.6186
0.171	1.54699
0.172	-2.55039
0.173	-3.31671
0.174	0.22454
0.175	3.42288
0.176	2.09377
0.177	-2.00648
0.178	-3.50798
0.179	-0.437086
0.18	3.187
0.181	2.60453
0.182	-1.43704
0.183	-3.65564
0.184	-1.11195
0.185	2.89332
0.186	3.10445
0.187	-0.800909
0.188	-3.71848
0.189	-1.78531
0.19	2.40528
0.191	3.38291
0.192	-0.0863139
0.193	-3.44361
0.194	-2.30615
0.195	1.80309
0.196	3.50247
0.197	0.57785
0.198	-3.13342
0.199	-2.76331
0.2	1.20205
0.201	3.57167
0.202	1.22447
0.203	-2.78188
0.204	-3.19132
0.205	0.564312
0.206	3.59087
0.207	1.89134
0.208	-2.35481
0.209	-3.55996
0.21	-0.14418
0.211	3.38115
0.212	2.42868
0.213	-1.70475
0.214	-3.61138
0.215	-0.816197
0.216	2.99513
0.217	2.83626
0.218	-1.06632
0.219	-3.60053
0.22	-1.44011
0.221	2.58349
0.222	3.19506
0.223	-0.42112
0.224	-3.54483
0.225	-2.05735
0.226	2.1205
0.227	3.52355
0.228	0.271693
0.229	-3.42213
0.23	-2.65588
0.231	1.52028
0.232	3.6341
0.233	0.959923
0.234	-2.96802
0.235	-3.01801
0.236	0.84039
0.237	3.54701
0.238	1.5664
0.239	-2.49153
0.24	-3.31045
0.241	0.182609
0.242	3.41368
0.243	2.13739
0.244	-1.98712
0.245	-3.56144
0.246	-0.49218
0.247	3.22737
0.248	2.70522
0.249	-1.41631
