Time - Voltage (FFT - (RMS))	Amplitude - Voltage (FFT - (RMS))
0	-32.9452
1	-36.3695
2	-56.3344
3	-62.5316
4	-92.6009
5	-81.8334
6	-81.2804
7	-40.8748
8	-34.3269
9	-39.7732
10	-71.915
11	-73.2814
12	-69.727
13	-76.9961
14	-90.3618
15	-89.6165
16	-87.1656
17	-69.858
18	-64.1271
19	-67.9727
20	-74.618
21	-75.6051
22	-76.7796
23	-81.4261
24	-89.6367
25	-82.3535
26	-79.7335
27	-76.2763
28	-73.9064
29	-69.121
30	-66.2515
31	-70.8206
32	-80.7089
33	-80.4538
34	-77.5989
35	-78.7619
36	-71.9184
37	-73.6553
38	-77.2782
39	-50.9127
40	-45.6356
41	-52.0483
42	-87.1209
43	-78.8443
44	-92.7121
45	-64.9766
46	-61.1812
47	-62.9179
48	-79.7309
49	-55.3306
50	-52.1999
51	-54.0414
52	-55.2673
53	-47.3966
54	-35.6589
55	1.61439
56	8.18338
57	2.70039
58	-34.2537
59	-47.1585
60	-53.1657
61	-62.2973
62	-65.5985
63	-70.7698
64	-71.3109
65	-69.9447
66	-59.9699
67	-66.9098
68	-73.0667
69	-78.0789
70	-75.6316
71	-82.8862
72	-88.8372
73	-85.799
74	-75.7826
75	-74.2933
76	-71.6472
77	-70.9768
78	-68.4367
79	-73.1769
80	-82.181
81	-65.2576
82	-60.8366
83	-70.3088
84	-72.267
85	-74.7626
86	-76.349
87	-57.563
88	-52.3042
89	-58.7363
90	-93.6046
91	-87.701
92	-88.2828
93	-69.4553
94	-63.206
95	-67.7869
96	-77.2006
97	-49.3658
98	-43.9501
99	-50.3699
100	-94.5148
101	-79.1287
102	-79.261
103	-37.5667
104	-31.0284
105	-36.4936
106	-70.4635
107	-70.8972
108	-66.0332
109	-73.6403
110	-93.2919
111	-78.9527
112	-71.3533
113	-65.8882
114	-57.1631
115	-61.9262
116	-76.2729
117	-76.0878
118	-75.2576
119	-81.6405
120	-87.3611
121	-86.2423
122	-79.8865
123	-74.1324
124	-70.7402
