Time - Voltage (FFT - (RMS))	Amplitude - Voltage (FFT - (RMS))
0	-32.0819
4	-34.93
8	-69.721
12	-81.029
16	-88.4337
20	-87.1797
24	-94.4428
28	-84.2276
32	-87.5969
36	-77.7281
40	-74.3696
44	-57.4153
48	-50.0633
52	-51.8403
56	-66.2268
60	-83.2825
64	-84.7496
68	-83.8205
72	-94.1048
76	-79.8171
80	-94.3571
84	-74.017
88	-82.5074
92	-54.9621
96	-44.5592
100	-45.0612
104	-59.4521
108	-87.1304
112	-90.6661
116	-77.3892
120	-77.5028
124	-72.8642
128	-73.0259
132	-64.8281
136	-62.7506
140	-44.8942
144	-32.396
148	-32.2446
152	-47.8925
156	-68.3838
160	-59.2731
164	-54.3643
168	-50.5098
172	-45.8491
176	-40.5387
180	-33.5257
184	-24.0545
188	-6.98299
192	6.82024
196	6.72447
200	-7.42477
204	-24.2321
208	-33.69
212	-40.5914
216	-45.9195
220	-50.5592
224	-54.052
228	-59.9359
232	-62.602
236	-50.5902
240	-35.2844
244	-35.9588
248	-48.8484
252	-63.8168
256	-67.3757
260	-73.4454
264	-73.8272
268	-79.8172
272	-74.01
276	-77.039
280	-72.7509
284	-58.9903
288	-46.447
292	-47.0048
296	-59.8619
300	-81.8261
304	-77.9712
308	-90.289
312	-80.4034
316	-93.1767
320	-78.5614
324	-72.584
328	-70.8451
332	-63.2792
336	-52.8852
340	-53.5255
344	-65.9342
348	-100.947
352	-81.4963
356	-88.0594
360	-81.2408
364	-86.5024
368	-77.4916
372	-70.5315
376	-70.2703
380	-66.5243
384	-56.5318
388	-56.2987
392	-66.9034
396	-92.2813
400	-84.5503
404	-86.6991
408	-85.225
412	-74.7839
416	-61.1566
420	-59.1501
424	-65.4062
428	-68.1132
432	-60.6294
436	-61.5699
440	-72.8359
444	-90.7536
448	-88.0146
452	-94.2427
456	-93.8162
460	-84.9028
464	-71.4793
468	-65.1822
472	-65.9622
476	-69.153
480	-63.95
484	-64.4886
488	-73.9457
492	-84.9656
496	-84.126
