Time - Voltage (FFT - (RMS))	Amplitude - Voltage (FFT - (RMS))
0	4.38343
1.020408	1.64909
2.040816	-26.6419
3.061224	-30.4599
4.081633	-36.2981
5.102041	-41.8098
6.122449	-44.2945
7.142857	-47.1369
8.163265	-45.8709
9.183673	-44.0182
10.204082	-43.6865
11.22449	-41.2445
12.244898	-37.7889
13.265306	-35.65
14.285714	-35.4937
15.306122	-37.1551
16.326531	-40.6747
17.346939	-45.0509
18.367347	-47.7699
19.387755	-47.1135
20.408163	-44.5969
21.428571	-41.9581
22.44898	-40.2898
23.469388	-38.9338
24.489796	-38.2355
25.510204	-38.5421
26.530612	-41.1225
27.55102	-46.1759
28.571429	-45.7985
29.591837	-41.7946
30.612245	-44.3988
31.632653	-54.7716
32.653061	-41.588
33.673469	-39.9355
34.693878	-31.1177
35.714286	-20.7061
36.734694	-13.6251
37.755102	-10.8787
38.77551	-12.1585
39.795918	-16.5305
40.816327	-25.6117
41.836735	-40.4515
42.857143	-40.1341
43.877551	-43.2984
44.897959	-50.4646
45.918367	-45.1865
46.938776	-44.7759
47.959184	-46.1547
48.979592	-51.9394
