Time - Voltage (FFT - (RMS))	Amplitude - Voltage (FFT - (RMS))
0	4.61498
1.022495	1.60916
2.04499	-64.2148
3.067485	-64.2426
4.08998	-62.7267
5.112474	-64.5537
6.134969	-63.8839
7.157464	-64.2788
8.179959	-66.1973
9.202454	-68.7507
10.224949	-72.1452
11.247444	-71.7112
12.269939	-70.9027
13.292434	-73.4598
14.314928	-78.0447
15.337423	-88.4188
16.359918	-79.5599
17.382413	-83.4308
18.404908	-77.2274
19.427403	-82.5028
20.449898	-76.8846
21.472393	-79.8016
22.494888	-67.5049
23.517382	-61.6678
24.539877	-69.3227
25.562372	-59.1675
26.584867	-56.5807
27.607362	-60.5793
28.629857	-61.5005
29.652352	-66.2976
30.674847	-58.372
31.697342	-53.4368
32.719836	-56.5052
33.742331	-48.6899
34.764826	-40.4882
35.787321	-33.3531
36.809816	-30.6751
37.832311	-36.191
38.854806	-38.092
39.877301	-35.8551
40.899796	-41.663
41.92229	-45.9603
42.944785	-49.8322
43.96728	-56.6859
44.989775	-67.2022
46.01227	-71.2667
47.034765	-70.7656
48.05726	-61.494
49.079755	-66.2168
50.102249	-95.5624
51.124744	-76.7133
52.147239	-74.8324
53.169734	-75.1271
54.192229	-79.602
55.214724	-80.6082
56.237219	-79.601
57.259714	-77.4992
58.282209	-93.1654
59.304703	-80.61
60.327198	-81.1594
61.349693	-83.2875
62.372188	-75.8608
63.394683	-84.2654
64.417178	-73.4079
65.439673	-75.2035
66.462168	-76.3336
67.484663	-73.0857
68.507157	-76.6124
69.529652	-70.0058
70.552147	-73.6195
71.574642	-72.8618
72.597137	-75.1987
73.619632	-73.9146
74.642127	-75.8262
75.664622	-78.805
76.687117	-85.7978
77.709611	-75.2657
78.732106	-74.9445
79.754601	-72.8317
80.777096	-70.882
81.799591	-72.9363
82.822086	-73.278
83.844581	-75.5508
84.867076	-75.5615
85.889571	-79.3827
86.912065	-78.9482
87.93456	-87.7676
88.957055	-79.4843
89.97955	-79.1112
91.002045	-82.6911
92.02454	-89.8368
93.047035	-88.4506
94.06953	-84.1255
95.092025	-87.3316
96.114519	-82.7867
97.137014	-88.3961
98.159509	-85.9124
99.182004	-96.0479
100.204499	-79.8612
101.226994	-84.544
102.249489	-90.0228
103.271984	-80.7511
104.294479	-81.5613
105.316973	-79.311
106.339468	-79.2801
107.361963	-80.1754
108.384458	-76.9091
109.406953	-75.888
110.429448	-72.1623
111.451943	-75.2269
112.474438	-70.5046
113.496933	-73.321
114.519427	-74.9622
115.541922	-74.3415
116.564417	-75.7945
117.586912	-78.0723
118.609407	-76.6426
119.631902	-78.7859
120.654397	-83.5279
121.676892	-80.2834
122.699387	-85.692
123.721881	-84.5263
124.744376	-86.2858
125.766871	-87.3658
126.789366	-103.928
127.811861	-86.7185
128.834356	-86.1619
129.856851	-89.4737
130.879346	-80.5732
131.90184	-98.4185
132.924335	-89.5951
133.94683	-92.4341
134.969325	-85.8189
135.99182	-95.9571
137.014315	-87.9769
138.03681	-89.9104
139.059305	-85.8037
140.0818	-88.6332
141.104294	-95.2229
142.126789	-83.7981
143.149284	-98.6995
144.171779	-85.9458
145.194274	-84.3191
146.216769	-83.0414
147.239264	-85.3139
148.261759	-87.7572
149.284254	-87.3005
150.306748	-84.3493
151.329243	-83.7336
152.351738	-82.9413
153.374233	-82.1412
154.396728	-84.2751
155.419223	-83.7798
156.441718	-86.1528
157.464213	-90.9184
158.486708	-88.0395
159.509202	-90.3789
160.531697	-87.4411
161.554192	-92.203
162.576687	-102.756
163.599182	-88.7493
164.621677	-92.4718
165.644172	-87.1037
166.666667	-89.4066
167.689162	-89.5972
168.711656	-88.8309
169.734151	-101.995
170.756646	-87.1302
171.779141	-88.6939
172.801636	-99.1536
173.824131	-95.0921
174.846626	-87.2922
175.869121	-86.2728
176.891616	-93.6653
177.91411	-92.8653
178.936605	-90.6757
179.9591	-88.8655
180.981595	-101.236
182.00409	-108.352
183.026585	-90.3581
184.04908	-91.8479
185.071575	-84.2911
186.09407	-87.0476
187.116564	-86.619
188.139059	-85.8509
189.161554	-87.724
190.184049	-85.9252
191.206544	-87.8922
192.229039	-88.8905
193.251534	-86.7471
194.274029	-96.7911
195.296524	-91.0032
196.319018	-97.141
197.341513	-89.027
198.364008	-98.5428
199.386503	-95.3225
200.408998	-90.0849
201.431493	-91.993
202.453988	-90.6394
203.476483	-110.926
204.498978	-100.233
205.521472	-91.4764
206.543967	-85.9778
207.566462	-91.9752
208.588957	-88.7042
209.611452	-93.1709
210.633947	-104.245
211.656442	-100.355
212.678937	-97.7422
213.701431	-96.1928
214.723926	-87.6468
215.746421	-100.968
216.768916	-94.0886
217.791411	-90.2773
218.813906	-94.3066
219.836401	-93.4794
220.858896	-93.5946
221.881391	-89.9669
222.903885	-96.2127
223.92638	-88.9425
224.948875	-86.1987
225.97137	-91.5803
226.993865	-88.1972
228.01636	-86.3644
229.038855	-92.7942
230.06135	-90.4729
231.083845	-100.869
232.106339	-87.2012
233.128834	-101.284
234.151329	-97.7485
235.173824	-93.7913
236.196319	-91.0929
237.218814	-91.3035
238.241309	-94.4174
239.263804	-96.8871
240.286299	-93.4456
241.308793	-104.365
242.331288	-92.995
243.353783	-109.397
244.376278	-88.9474
245.398773	-108.421
246.421268	-97.6644
247.443763	-99.7021
248.466258	-93.9919
249.488753	-94.8068
