Time - Voltage (FFT - (RMS))	Amplitude - Voltage (FFT - (RMS))
0	4.61496
1.024	1.60921
2.048	-64.1304
3.072	-64.2143
4.096	-62.5748
5.12	-64.5341
6.144	-63.7976
7.168	-64.0798
8.192	-66.1476
9.216	-68.8499
10.24	-72.043
11.264	-72.044
12.288	-70.6425
13.312	-73.5699
14.336	-77.8568
15.36	-86.5115
16.384	-78.8224
17.408	-84.46
18.432	-77.6179
19.456	-83.2468
20.48	-76.8611
21.504	-79.8061
22.528	-67.1471
23.552	-61.6865
24.576	-70.3548
25.6	-58.7085
26.624	-56.7559
27.648	-60.6465
28.672	-61.3802
29.696	-66.0221
30.72	-58.1269
31.744	-53.3518
32.768	-55.9602
33.792	-48.3274
34.816	-40.044
35.84	-33.0182
36.864	-30.6929
37.888	-36.7184
38.912	-37.6825
39.936	-35.9652
40.96	-42.0357
41.984	-46.1014
43.008	-50.0979
44.032	-57.2701
45.056	-67.5585
46.08	-71.7913
47.104	-69.0176
48.128	-61.4548
49.152	-67.4289
50.176	-85.056
51.2	-76.973
52.224	-74.5112
53.248	-75.1967
54.272	-79.6203
55.296	-81.8091
56.32	-78.8851
57.344	-77.3669
58.368	-91.7346
59.392	-79.8169
60.416	-83.0009
61.44	-81.6181
62.464	-75.6685
63.488	-82.6959
64.512	-73.5608
65.536	-75.2772
66.56	-75.9806
67.584	-73.0992
68.608	-76.1475
69.632	-69.9619
70.656	-73.3735
71.68	-73.2147
72.704	-75.2122
73.728	-74.1041
74.752	-76.2486
75.776	-79.2197
76.8	-89.3482
77.824	-74.0006
78.848	-74.6964
79.872	-72.794
80.896	-70.8127
81.92	-74.1994
82.944	-72.5892
83.968	-78.1013
84.992	-74.8367
86.016	-81.9106
87.04	-79.375
88.064	-88.2441
89.088	-78.7069
90.112	-79.5634
91.136	-84.1372
92.16	-89.3118
93.184	-89.1925
94.208	-87.4833
95.232	-83.2015
96.256	-83.973
97.28	-89.4486
98.304	-85.2532
99.328	-94.0503
100.352	-80.7302
101.376	-84.7923
102.4	-88.3492
103.424	-80.9637
104.448	-81.0049
105.472	-79.305
106.496	-78.3912
107.52	-78.8889
108.544	-76.4578
109.568	-75.7315
110.592	-72.6926
111.616	-72.8118
112.64	-70.9166
113.664	-73.4548
114.688	-74.6403
115.712	-74.8867
116.736	-75.0765
117.76	-78.7073
118.784	-75.803
119.808	-81.9302
120.832	-80.1867
121.856	-81.119
122.88	-85.9871
123.904	-86.8696
124.928	-86.211
125.952	-83.5863
126.976	-94.8546
128	-84.5057
129.024	-87.6308
130.048	-84.9187
131.072	-83.0096
132.096	-93.3767
133.12	-91.1453
134.144	-91.9976
135.168	-87.2662
136.192	-94.1801
137.216	-89.261
138.24	-85.5935
139.264	-88.2668
140.288	-89.3449
141.312	-86.2807
142.336	-85.4887
143.36	-104.889
144.384	-85.1438
145.408	-90.2245
146.432	-80.47
147.456	-88.7459
148.48	-86.7778
149.504	-87.0631
150.528	-85.7544
151.552	-84.8216
152.576	-83.4732
153.6	-84.1776
154.624	-83.0844
155.648	-85.4511
156.672	-88.1185
157.696	-89.4578
158.72	-88.7061
159.744	-90.8661
160.768	-96.9616
161.792	-89.4777
162.816	-92.4989
163.84	-89.6864
164.864	-88.5418
165.888	-87.9442
166.912	-90.274
167.936	-85.9844
168.96	-89.1763
169.984	-95.6893
171.008	-88.8258
172.032	-101.425
173.056	-95.6715
174.08	-90.2579
175.104	-88.802
176.128	-93.1244
177.152	-93.1952
178.176	-89.4841
179.2	-94.0327
180.224	-93.2268
181.248	-105.951
182.272	-98.6226
183.296	-88.9724
184.32	-88.0117
185.344	-87.0737
186.368	-83.8494
187.392	-86.004
188.416	-83.3958
189.44	-88.1646
190.464	-86.3629
191.488	-85.2894
192.512	-87.907
193.536	-83.3606
194.56	-100.486
195.584	-85.6766
196.608	-97.1605
197.632	-86.4922
198.656	-89.0362
199.68	-101.531
200.704	-88.9152
201.728	-91.9555
202.752	-90.8886
203.776	-98.3112
204.8	-105.818
205.824	-86.9209
206.848	-89.5662
207.872	-96.1676
208.896	-95.5438
209.92	-93.5203
210.944	-97.5452
211.968	-110.258
212.992	-106.403
214.016	-90.6054
215.04	-89.1843
216.064	-110.858
217.088	-99.8792
218.112	-91.9839
219.136	-96.6709
220.16	-90.3111
221.184	-104.179
222.208	-86.5162
223.232	-95.8233
224.256	-86.5866
225.28	-87.5306
226.304	-87.8518
227.328	-88.1832
228.352	-85.3979
229.376	-88.1321
230.4	-88.6121
231.424	-87.3015
232.448	-86.5626
233.472	-91.5211
234.496	-90.2815
235.52	-94.5751
236.544	-94.1068
237.568	-92.6594
238.592	-97.4902
239.616	-93.742
240.64	-98.3
241.664	-100.535
242.688	-93.8822
243.712	-98.2626
244.736	-89.6953
245.76	-96.1998
246.784	-100.597
247.808	-98.2325
248.832	-100.015
249.856	-110.356
250.88	-95.5148
