Time - Voltage (Resampled)	Amplitude - Voltage (Resampled)
0	1.72156
0.02	1.72623
0.04	1.69937
0.06	1.63858
0.08	1.66773
0.1	1.2164
0.12	0.287771
0.14	1.70049
0.16	2.48248
0.18	1.51635
0.2	0.259613
0.22	1.25552
0.24	2.54666
0.26	1.89425
0.28	0.408989
0.3	1.24218
0.32	2.50404
0.34	2.10706
0.36	1.15737
0.38	1.36905
0.4	2.01716
0.42	1.95181
0.44	1.54348
0.46	1.54111
0.48	1.77421
0.5	1.80731
0.52	1.65891
0.54	1.64185
0.56	1.72433
0.58	1.73702
0.6	1.67874
0.62	1.68063
0.64	1.72006
0.66	1.70854
0.68	1.68065
0.7	1.69485
0.72	1.72347
0.74	1.70392
0.76	1.67822
0.78	1.69435
0.8	1.72411
0.82	1.70601
0.84	1.6808
0.86	1.69096
0.88	1.71642
0.9	1.70955
0.92	1.68779
0.94	1.6906
0.96	1.71111
