Time - Voltage (Resampled)	Amplitude - Voltage (Resampled)
0	-3.16897
0.002	3.64853
0.004	-2.51078
0.006	0.12761
0.008	2.17388
0.01	-3.54527
0.012	3.15025
0.014	-1.37432
0.016	-1.17554
0.018	3.11378
0.02	-3.72224
0.022	2.39894
0.024	-0.0489759
0.026	-2.36288
0.028	3.52924
0.03	-3.13838
0.032	1.17619
0.034	1.23715
0.036	-3.19579
0.038	3.57087
0.04	-2.35201
0.042	-0.137986
0.044	2.44357
0.046	-3.65086
0.048	3.02488
0.05	-1.10005
0.052	-1.42357
0.054	3.17755
0.056	-3.5559
0.058	2.15003
0.06	0.204523
0.062	-2.62832
0.064	3.67056
0.066	-3.04814
0.068	0.915461
0.07	1.50109
0.072	-3.2956
0.074	3.44023
0.076	-2.07175
0.078	-0.392239
0.08	2.61025
0.082	-3.74543
0.084	2.97135
0.086	-0.854398
0.088	-1.70096
0.09	3.31259
0.092	-3.46127
0.094	1.88603
0.096	0.469852
0.098	-2.72664
0.1	3.62549
0.102	-2.92115
0.104	0.686386
0.106	1.78946
0.108	-3.4643
0.11	3.38317
0.112	-1.82678
0.114	-0.668326
0.116	2.74102
0.118	-3.64446
0.12	2.73108
0.122	-0.604702
0.124	-1.96702
0.126	3.51289
0.128	-3.44233
0.13	1.66275
0.132	0.752954
0.134	-2.88967
0.136	3.56299
0.138	-2.66988
0.14	0.405117
0.142	1.98281
0.144	-3.58851
0.146	3.40245
0.148	-1.62684
0.15	-0.955706
0.152	2.93447
0.154	-3.6207
0.156	2.50431
0.158	-0.319387
0.16	-2.13005
0.162	3.50424
0.164	-3.34677
0.166	1.47101
0.168	1.04287
0.17	-3.1113
0.172	3.57806
0.174	-2.46889
0.176	0.118746
0.178	2.17309
0.18	-3.55911
0.182	3.17604
0.184	-1.3812
0.186	-1.21829
0.188	3.18209
0.19	-3.67369
0.192	2.33163
0.194	-0.0347409
0.196	-2.34616
0.198	3.51362
0.2	-3.13968
0.202	1.1783
0.204	1.26333
0.206	-3.2611
0.208	3.64945
0.21	-2.32708
0.212	-0.161872
0.214	2.41259
0.216	-3.6069
0.218	3.00022
0.22	-1.09392
0.222	-1.4348
0.224	3.21452
0.226	-3.60848
0.228	2.17745
0.23	0.237822
0.232	-2.60733
0.234	3.5993
0.236	-2.99589
0.238	0.898563
0.24	1.50105
0.242	-3.30538
0.244	3.46562
0.246	-2.08987
0.248	-0.418052
0.25	2.69263
0.252	-3.72994
0.254	2.89113
0.256	-0.825355
0.258	-1.6912
0.26	3.29494
0.262	-3.4593
0.264	1.8908
0.266	0.485625
0.268	-2.7821
0.27	3.70651
0.272	-2.92163
0.274	0.643548
0.276	1.7721
0.278	-3.42127
0.28	3.35103
0.282	-1.81736
0.284	-0.675229
0.286	2.77096
0.288	-3.69686
0.29	2.77212
0.292	-0.585792
0.294	-1.97567
0.296	3.44612
0.298	-3.382
0.3	1.63598
0.302	0.755323
0.304	-2.8953
0.306	3.5863
0.308	-2.69422
0.31	0.395206
0.312	2.05064
0.314	-3.60614
0.316	3.31199
0.318	-1.58119
0.32	-0.955194
0.322	2.9168
0.324	-3.61358
0.326	2.5103
0.328	-0.313049
0.33	-2.17377
0.332	3.58269
0.334	-3.38059
0.336	1.42199
0.338	1.04182
0.34	-3.0721
0.342	3.54166
0.344	-2.45467
0.346	0.113123
0.348	2.19504
0.35	-3.60775
0.352	3.22686
0.354	-1.38742
0.356	-1.24555
0.358	3.12402
0.36	-3.60764
0.362	2.2953
0.364	-0.0279137
0.366	-2.34881
0.368	3.53264
0.37	-3.16775
0.372	1.18357
0.374	1.31314
0.376	-3.30745
0.378	3.57431
0.38	-2.26695
0.382	-0.172967
0.384	2.39831
0.386	-3.59662
0.388	3.00563
0.39	-1.0951
0.392	-1.46617
0.394	3.28643
0.396	-3.67914
0.398	2.13584
0.4	0.256024
0.402	-2.57627
0.404	3.56013
0.406	-2.97583
0.408	0.89401
0.41	1.51595
0.412	-3.34755
0.414	3.52114
0.416	-2.11464
0.418	-0.45163
0.42	2.64809
0.422	-3.6618
0.424	2.8448
0.426	-0.812153
0.428	-1.69235
0.43	3.30898
0.432	-3.48897
0.434	1.90855
0.436	0.517038
0.438	-2.84723
0.44	3.66317
0.442	-2.84774
0.444	0.618965
0.446	1.76184
0.448	-3.40741
0.45	3.35404
0.452	-1.8238
0.454	-0.694723
0.456	2.83225
0.458	-3.78118
0.46	2.75076
0.462	-0.547989
0.464	-1.9561
0.466	3.40575
0.468	-3.35612
0.47	1.62963
0.472	0.764859
0.474	-2.92946
0.476	3.64255
0.478	-2.73486
0.48	0.369184
0.482	2.04024
0.484	-3.5419
0.486	3.25754
0.488	-1.55963
0.49	-0.957142
0.492	2.92668
0.494	-3.64174
0.496	2.536
0.498	-0.299671
0.5	-2.24774
0.502	3.5735
0.504	-3.29594
0.506	1.3832
0.508	1.03913
0.51	-3.05762
0.512	3.54012
0.514	-2.46402
0.516	0.104874
0.518	2.24474
0.52	-3.69163
0.522	3.23517
0.524	-1.33257
0.526	-1.24049
0.528	3.08655
0.53	-3.57677
0.532	2.28515
0.534	-0.0222886
0.536	-2.37495
0.538	3.58622
0.54	-3.21989
0.542	1.17826
0.544	1.32896
0.546	-3.24935
0.548	3.51325
0.55	-2.23596
0.552	-0.177892
0.554	2.40286
0.556	-3.61955
0.558	3.03682
0.56	-1.0977
0.562	-1.52267
0.564	3.30772
0.566	-3.58869
0.568	2.0826
0.57	0.262926
0.572	-2.56213
0.574	3.5543
0.576	-2.98551
0.578	0.894639
0.58	1.55139
0.582	-3.42482
0.584	3.56345
0.586	-2.06015
0.588	-0.463262
0.59	2.6175
0.592	-3.627
0.594	2.83
0.596	-0.808931
0.598	-1.7104
0.6	3.35656
0.602	-3.54782
0.604	1.93118
0.606	0.546833
0.608	-2.80174
0.61	3.59941
0.612	-2.80714
0.614	0.60885
0.616	1.76415
0.618	-3.42649
0.62	3.38778
0.622	-1.84004
0.624	-0.731215
0.626	2.87956
0.628	-3.71024
0.63	2.6836
0.632	-0.528889
0.634	-1.94453
0.636	3.39625
0.638	-3.3629
0.64	1.63739
0.642	0.78815
0.644	-2.99679
0.646	3.72023
0.648	-2.69481
0.65	0.337997
0.652	2.01874
0.654	-3.50388
0.656	3.2368
0.658	-1.55599
0.66	-0.968374
0.662	2.96584
0.664	-3.70276
0.666	2.57569
0.668	-0.2698
0.67	-2.21715
0.672	3.51095
0.674	-3.24707
0.676	1.36639
0.678	1.04121
0.68	-3.07163
0.682	3.57238
0.684	-2.48994
0.686	0.0869708
0.688	2.30574
0.69	-3.65414
0.692	3.15707
0.694	-1.29974
0.696	-1.23657
0.698	3.07493
0.7	-3.58034
0.702	2.29663
0.704	-0.0115851
0.706	-2.43001
0.708	3.6744
0.71	-3.20359
0.712	1.12708
0.714	1.32035
0.716	-3.21448
0.718	3.48726
0.72	-2.22938
0.722	-0.184197
0.724	2.43422
0.726	-3.67869
0.728	3.08941
0.73	-1.08127
0.732	-1.52477
0.734	3.25021
0.736	-3.53283
0.738	2.05613
0.74	0.267432
0.742	-2.5708
0.744	3.58305
0.746	-3.01835
0.748	0.893404
0.75	1.61415
0.752	-3.42139
0.754	3.47917
0.756	-2.01263
0.758	-0.468405
0.76	2.60554
0.762	-3.62669
0.764	2.84213
0.766	-0.808218
0.768	-1.75238
0.77	3.43985
0.772	-3.56306
0.774	1.86577
0.776	0.554778
0.778	-2.77164
0.78	3.56925
0.782	-2.7972
0.784	0.605039
0.786	1.7869
0.788	-3.4801
0.79	3.44871
0.792	-1.84882
0.794	-0.75483
0.796	2.83227
0.798	-3.65033
0.8	2.64872
0.802	-0.520736
0.804	-1.95087
0.806	3.42056
0.808	-3.39954
0.81	1.6515
0.812	0.830815
0.814	-3.02311
0.816	3.63215
0.818	-2.63351
0.82	0.322528
0.822	2.00951
0.824	-3.49925
0.826	3.24853
0.828	-1.56342
0.83	-0.996034
0.832	3.03962
0.834	-3.75327
0.836	2.51718
0.838	-0.243871
0.84	-2.19561
0.842	3.47817
0.844	-3.23148
0.846	1.36357
0.848	1.05571
0.85	-3.11694
0.852	3.63663
0.854	-2.52811
0.856	0.0555718
0.858	2.27358
0.86	-3.59451
0.862	3.11362
0.864	-1.28604
0.866	-1.24024
0.868	3.09373
0.87	-3.61679
0.872	2.32301
0.874	0.0120771
0.876	-2.47563
0.878	3.6093
0.88	-3.13154
0.882	1.09879
0.884	1.31626
0.886	-3.20703
0.888	3.49562
0.89	-2.24217
0.892	-0.198593
0.894	2.49587
0.896	-3.76171
0.898	3.04955
0.9	-1.03654
0.902	-1.51403
0.904	3.21891
0.906	-3.51175
0.908	2.05331
0.91	0.275491
0.912	-2.60808
0.914	3.64651
0.916	-3.07118
0.918	0.867711
0.92	1.6008
0.922	-3.3661
0.924	3.42862
0.926	-1.99102
0.928	-0.472544
0.93	2.61858
0.932	-3.66025
0.934	2.87796
0.936	-0.802936
0.938	-1.80722
0.94	3.41056
0.942	-3.48267
0.944	1.82397
0.946	0.55678
0.948	-2.76303
0.95	3.57337
0.952	-2.81211
0.954	0.602873
0.956	1.83463
0.958	-3.56875
0.96	3.43736
0.962	-1.78497
0.964	-0.759047
0.966	2.80315
0.968	-3.62505
0.97	2.64254
0.972	-0.517332
0.974	-1.97789
0.976	3.47901
0.978	-3.46238
0.98	1.64357
0.982	0.845099
0.984	-2.97583
0.986	3.57732
0.988	-2.60374
0.99	0.315882
0.992	2.01814
0.994	-3.52882
0.996	3.28787
0.998	-1.5747
