Time - Voltage (Resampled)	Amplitude - Voltage (Resampled)
0	1.74765
0.001	-2.48575
0.002	-3.46101
0.003	0.0439492
0.004	3.41962
0.005	2.2691
0.006	-1.8603
0.007	-3.56367
0.008	-0.627184
0.009	3.08621
0.01	2.7143
0.011	-1.24567
0.012	-3.60947
0.013	-1.26695
0.014	2.71872
0.015	3.12019
0.016	-0.609045
0.017	-3.60762
0.018	-1.91402
0.019	2.28829
0.02	3.50221
0.021	0.0891869
0.022	-3.46765
0.023	-2.49649
0.024	1.67285
0.025	3.58569
0.026	0.773477
0.027	-3.05568
0.028	-2.89493
0.029	1.01723
0.03	3.5541
