Time - Voltage (FFT - (RMS))	Amplitude - Voltage (FFT - (RMS))
0	-32.9038
1	-35.9143
2	-99.9096
3	-101.091
4	-106.114
5	-99.9938
6	-101.94
7	-99.1549
8	-101.447
9	-105.705
10	-102.238
11	-104.873
12	-102.576
13	-103.448
14	-110.45
15	-113.61
16	-108.357
17	-107.377
18	-104.078
19	-114.012
20	-103.476
21	-102.85
22	-95.0915
23	-99.4141
24	-102.493
25	-98.9441
26	-104.271
27	-117.441
28	-121.691
29	-111.029
30	-100.845
31	-101.281
32	-108.497
33	-99.4357
34	-100.446
35	-105.458
36	-112.425
37	-107.067
38	-104.573
39	-102.934
40	-102.54
41	-101.489
42	-101.127
43	-108.85
44	-101.448
45	-112.204
46	-112.243
47	-101.033
48	-96.9696
49	-99.5153
50	-111.914
51	-100.971
52	-99.8809
53	-103.663
54	-105.508
55	-106.091
56	-104.49
57	-99.2796
58	-99.5901
59	-86.8136
60	-81.2203
61	-87.4567
62	-104.52
63	-109.711
64	-108.248
65	-104.436
66	-100.948
67	-99.0757
68	-103.78
69	-103.278
70	-99.1504
71	-96.3096
72	-95.3145
73	-104.521
74	-98.9002
75	-96.2751
76	-99.9147
77	-105.273
78	-107.072
79	-109.597
80	-111.643
81	-106.804
82	-100.879
83	-102.033
84	-105.927
85	-101.526
86	-101.254
87	-98.8864
88	-104.609
89	-101.625
90	-98.7889
91	-114.903
92	-98.8037
93	-95.1779
94	-95.1662
95	-104.14
96	-104.382
97	-109.301
98	-108.332
99	-104.826
100	-105.939
101	-103.289
102	-100.963
103	-100.315
104	-108.109
105	-103.211
106	-98.5122
107	-97.1595
108	-94.4311
109	-98.8744
110	-101.962
111	-103.44
112	-102.582
113	-98.9945
114	-101.481
115	-102.481
116	-103.84
117	-103.831
118	-114.517
119	-115.374
120	-98.1063
121	-100.231
122	-108.882
123	-107.118
124	-110.853
125	-105.199
126	-105.101
127	-104.439
128	-101.894
129	-96.9432
130	-100.92
131	-111.639
132	-107.233
133	-101.627
134	-99.6647
135	-106.594
136	-106.119
137	-108.845
138	-101.911
139	-102.198
140	-105.833
141	-102.762
142	-102.532
143	-107.327
144	-99.5938
145	-96.0177
146	-105.305
147	-102.602
148	-102.935
149	-101.731
150	-106.439
151	-109.059
152	-97.6861
153	-97.6081
154	-98.042
155	-103.039
156	-100.781
157	-108.007
158	-107.296
159	-103.531
160	-108.114
161	-109.345
162	-95.4842
163	-101.032
164	-97.01
165	-97.6447
166	-95.3811
167	-98.4022
168	-107.967
169	-93.9513
170	-102.713
171	-100.396
172	-94.4075
173	-99.5167
174	-100.367
175	-94.9792
176	-93.4464
177	-90.3156
178	-101.46
179	-83.232
180	-91.4071
181	-82.9423
182	-83.1105
183	-80.5369
184	-79.6534
185	-75.9301
186	-73.6302
187	-69.0486
188	-65.7711
189	-60.4903
190	-54.437
191	-46.4365
192	-34.0476
193	2.95698
194	8.4403
195	1.8711
196	-35.3749
197	-47.2025
198	-55.003
199	-61.0043
200	-65.8618
201	-70.0962
202	-72.8656
203	-76.3434
204	-79.1494
205	-81.2754
206	-87.069
207	-86.9294
208	-83.2308
209	-95.3046
210	-89.8424
211	-92.9873
212	-94.9614
213	-94.7945
214	-98.5008
215	-98.1052
216	-98.8215
217	-99.5057
218	-96.4485
219	-96.9923
220	-100.974
221	-107.936
222	-108.399
223	-98.4269
224	-113.116
225	-97.7453
226	-94.5163
227	-97.8216
228	-106.377
229	-100.587
230	-103.128
231	-101.603
232	-97.2633
233	-102.836
234	-100.971
235	-104.429
236	-102.773
237	-106.521
238	-101.621
239	-95.8781
240	-98.0594
241	-99.5406
242	-103.287
243	-103.761
244	-102.232
245	-114.222
246	-118.011
247	-99.9471
248	-100.403
249	-97.0019
250	-96.5363
251	-94.6804
252	-92.3581
253	-96.7497
254	-100.311
255	-113.457
256	-118.317
257	-103.738
258	-108.951
259	-100.298
260	-110.63
261	-108.151
262	-101.365
263	-108.744
264	-104.023
265	-100.5
266	-97.5238
267	-99.0236
268	-106.978
269	-106.553
270	-101.672
271	-99.2553
272	-101.631
273	-99.8019
274	-101.583
275	-107.823
276	-98.6147
277	-106.657
278	-103.769
279	-99.9532
280	-98.8119
281	-103.328
282	-109.824
283	-112.131
284	-114.979
285	-120.534
286	-101.48
287	-97.7509
288	-99.2292
289	-100.426
290	-107.762
291	-107.663
292	-99.3612
293	-101.234
294	-108.8
295	-106.532
296	-103.9
297	-101.986
298	-105.134
299	-94.9755
300	-92.5324
301	-95.4719
302	-98.7945
303	-102.179
304	-112.568
305	-107.033
306	-105.985
307	-102.268
308	-102.933
309	-109.183
310	-102.441
311	-93.2244
312	-93.9924
313	-102.492
314	-100.044
315	-98.3526
316	-95.4175
317	-95.8123
318	-97.1714
319	-97.7923
320	-103.417
321	-111.465
322	-106.775
323	-107.585
324	-106.711
325	-98.2204
326	-94.997
327	-95.7408
328	-104.258
329	-100.892
330	-120.07
331	-104.262
332	-104.835
333	-100.498
334	-98.6918
335	-104.321
336	-113.833
337	-107.416
338	-112.281
339	-111.68
340	-111.334
341	-106.258
342	-100.553
343	-99.6333
344	-102.73
345	-100.035
346	-99.9688
347	-97.8234
348	-96.3876
349	-104.227
350	-94.1636
351	-95.2714
352	-99.8502
353	-97.534
354	-99.915
355	-103.298
356	-108.514
357	-97.9117
358	-99.2652
359	-105.606
360	-100.326
361	-101.219
362	-95.9974
363	-97.1134
364	-107.67
365	-115.906
366	-104.464
367	-102.869
368	-106.301
369	-101.508
370	-104.111
371	-112.898
372	-104.201
373	-101.082
374	-101.175
375	-110.787
376	-122.312
377	-114.331
378	-106.602
379	-105.192
380	-109.023
381	-104.777
382	-100.928
383	-111.924
384	-107.844
385	-104.905
386	-101.125
387	-73.7921
388	-68.9451
389	-75.8555
390	-114.076
391	-103.013
392	-99.4386
393	-98.4455
394	-96.3763
395	-102.469
396	-109.026
397	-102.921
398	-104.7
399	-107.393
400	-100.09
401	-96.9054
402	-99.4705
403	-98.4777
404	-96.129
405	-98.104
406	-110.228
407	-102.346
408	-96.8982
409	-97.7181
410	-106.419
411	-112
412	-102.207
413	-101.081
414	-105.849
415	-111.791
416	-114.145
417	-101.734
418	-97.8606
419	-96.7996
420	-97.7316
421	-99.7952
422	-122.157
423	-104.85
424	-109.465
425	-104.684
426	-99.0098
427	-96.242
428	-105.327
429	-124.615
430	-121.784
431	-107.774
432	-103.591
433	-111.452
434	-104.646
435	-102.531
436	-107.703
437	-119.968
438	-108.254
439	-98.3267
440	-100.777
441	-118.139
442	-123.258
443	-110.841
444	-101.102
445	-99.2263
446	-101.646
447	-113.054
448	-105.125
449	-106.385
450	-102.938
451	-104.84
452	-97.6865
453	-101.011
454	-104.331
455	-108.16
456	-108.878
457	-96.4032
458	-99.8914
459	-103.86
460	-103.298
461	-112.118
462	-107.254
463	-106.344
464	-111.046
465	-101.162
466	-100.806
467	-99.1827
468	-100.077
469	-111.181
470	-115.353
471	-106.161
472	-100.593
473	-100.754
474	-106.454
475	-105.125
476	-103.031
477	-115.363
478	-106.439
479	-110.21
480	-99.5451
481	-97.104
482	-112.641
483	-101.49
484	-99.977
485	-98.3105
486	-98.8969
487	-106.503
488	-113.138
489	-100.957
490	-104.602
491	-100.524
492	-100.095
493	-112.367
494	-114.527
495	-108.332
496	-112.324
497	-109.041
498	-105.365
499	-106.705
500	-102.086
501	-98.7905
502	-103.976
503	-99.8465
504	-99.3073
505	-104.687
506	-105.963
507	-103.689
508	-118.286
509	-105.304
510	-111.123
511	-102.663
512	-99.4075
513	-97.5168
514	-109.158
515	-100.511
516	-100.772
517	-104.452
518	-105.138
519	-110.59
520	-108.47
521	-102.804
522	-100.491
523	-101.33
524	-117.383
525	-103.153
526	-97.8942
527	-98.9954
528	-112.694
529	-110.131
530	-111.275
531	-104.858
532	-104.931
533	-109.378
534	-101.51
535	-106.277
536	-101.518
537	-100.821
538	-100.403
539	-111.885
540	-105.892
541	-104.394
542	-113.957
543	-110.309
544	-115.172
545	-106.993
546	-101.972
547	-101.071
548	-107.884
549	-103.553
550	-96.6376
551	-95.1661
552	-100.764
553	-113.545
554	-108.009
555	-110.845
556	-114.148
557	-104.005
558	-98.8285
559	-101.255
560	-103.025
561	-96.9602
562	-99.9572
563	-111.167
564	-107.611
565	-111.34
566	-104.245
567	-98.7852
568	-103.429
569	-109.293
570	-108.28
571	-110.739
572	-106.281
573	-98.4675
574	-96.4473
575	-102.656
576	-118.564
577	-99.8679
578	-107.738
579	-105.134
580	-89.0099
581	-62.9195
582	-58.4737
583	-66.1713
584	-97.1095
585	-98.8301
586	-103.281
587	-100.52
588	-96.372
589	-99.0378
590	-101.813
591	-99.307
592	-131.823
593	-117.069
594	-103.35
595	-106.614
596	-110.395
597	-102.088
598	-101.002
599	-98.0207
600	-100.989
601	-103.174
602	-125.598
603	-113.976
604	-110.743
605	-108.623
606	-103.056
607	-97.8407
608	-103.419
609	-98.3125
610	-105.429
611	-105.035
612	-99.2473
613	-95.122
614	-97.0023
615	-104.489
616	-109.497
617	-107.495
618	-104.068
619	-106.636
620	-105.239
621	-102.755
622	-105.348
623	-102.486
624	-114.419
625	-98.1351
626	-95.6784
627	-101.093
628	-105.887
629	-107.953
630	-123.974
631	-101.195
632	-98.5318
633	-105.239
634	-115.256
635	-104.694
636	-105.922
637	-99.0108
638	-99.2991
639	-103.308
640	-90.0504
641	-87.802
642	-102.291
643	-96.5788
644	-94.7927
645	-94.3703
646	-103.336
647	-100.22
648	-96.2745
649	-95.7379
650	-98.3495
651	-103.305
652	-101.206
653	-100.391
654	-110.419
655	-105.158
656	-100.011
657	-101.557
658	-100.055
659	-99.4167
660	-120.701
661	-101.952
662	-96.164
663	-100.65
664	-108.663
665	-102.129
666	-99.3863
667	-103.958
668	-104.911
669	-105.439
670	-121.923
671	-101.844
672	-100.8
673	-127.4
674	-103.637
675	-100.648
676	-97.4449
677	-99.746
678	-108.18
679	-108.659
680	-104.018
681	-99.8592
682	-105.093
683	-108.98
684	-120.268
685	-98.794
686	-94.8128
687	-97.3683
688	-100.231
689	-98.5394
690	-105.317
691	-102.905
692	-98.0466
693	-96.6363
694	-100.461
695	-102.149
696	-102.09
697	-98.1872
698	-102.625
699	-107.33
700	-105.123
701	-99.4677
702	-100.551
703	-103.278
704	-105.724
705	-103.611
706	-100.767
707	-99.6586
708	-105.721
709	-103.198
710	-101.723
711	-102.976
712	-97.5891
713	-99.7543
714	-110.314
715	-107.497
716	-98.3423
717	-99.2186
718	-101.323
719	-104.578
720	-111.047
721	-106.525
722	-98.646
723	-98.664
724	-115.86
725	-104.59
726	-110.514
727	-105.565
728	-104.365
729	-103.136
730	-100.888
731	-100.248
732	-96.2552
733	-99.3298
734	-103.035
735	-114.573
736	-103.792
737	-101.223
738	-104.852
739	-118.385
740	-101.844
741	-104.59
742	-100.529
743	-103.219
744	-107.971
745	-112.668
746	-105.135
747	-103.775
748	-102.085
749	-105.009
750	-100.585
751	-100.11
752	-108.944
753	-96.4292
754	-96.8932
755	-107.144
756	-128.28
757	-108.655
758	-100.369
759	-98.7738
760	-103.174
761	-101.905
762	-104.541
763	-101.465
764	-101.518
765	-105.891
766	-103.597
767	-101.596
768	-100.002
769	-107.994
770	-105.34
771	-105.972
772	-102.526
773	-98.1496
774	-104.076
775	-102.144
776	-96.1631
777	-96.1338
778	-102.838
779	-117.435
780	-100.411
781	-98.2992
782	-112.569
783	-107.855
784	-115.694
785	-102.744
786	-106.155
787	-103.891
788	-112.622
789	-111.378
790	-105.761
791	-101.588
792	-100.538
793	-102.535
794	-113.574
795	-109.299
796	-109.998
797	-111.68
798	-101.467
799	-101.243
800	-102.071
801	-103.447
802	-103.421
803	-102.622
804	-103.606
805	-110.255
806	-99.802
807	-103.388
808	-108.432
809	-102.174
810	-95.4446
811	-101.391
812	-111.793
813	-102.303
814	-96.4151
815	-100.767
816	-113.455
817	-103.419
818	-107.894
819	-108.698
820	-110.232
821	-107.039
822	-111.891
823	-107.482
824	-105.164
825	-102.878
826	-106.498
827	-98.3245
828	-95.0378
829	-101.599
830	-101.605
831	-107.114
832	-103.658
833	-101.846
834	-113.289
835	-120.905
836	-106.114
837	-99.5542
838	-111.412
839	-106.296
840	-102.059
841	-102.53
842	-108.976
843	-110.062
844	-117.744
845	-103.821
846	-105.136
847	-128.101
848	-105.768
849	-100.715
850	-111.775
851	-102.2
852	-106.111
853	-101.779
854	-102.386
855	-100.254
856	-102.134
857	-106.301
858	-111.144
859	-109.21
860	-101.653
861	-102.158
862	-102.411
863	-102.307
864	-102.562
865	-105.72
866	-108.451
867	-105.012
868	-111.611
869	-106.531
870	-105.59
871	-98.2308
872	-99.4751
873	-100.973
874	-101.605
875	-105.972
876	-105.997
877	-110.125
878	-100.559
879	-97.7515
880	-102.323
881	-100.985
882	-100.422
883	-101.03
884	-104.146
885	-102.924
886	-104.652
887	-106.721
888	-100.382
889	-100.418
890	-107.1
891	-113.778
892	-117.414
893	-106.038
894	-102.001
895	-101.465
896	-104.77
897	-100.388
898	-95.3415
899	-97.4455
900	-106.553
901	-104.852
902	-105.145
903	-108.467
904	-106.461
905	-115.107
906	-106.682
907	-104.229
908	-104.245
909	-105.804
910	-98.4266
911	-98.6292
912	-106.03
913	-104.3
914	-96.4537
915	-96.6976
916	-100.117
917	-102.727
918	-122.488
919	-108.457
920	-118.086
921	-104.712
922	-103.662
923	-120.148
924	-106.86
925	-101.15
926	-97.5638
927	-100.748
928	-101.255
929	-100.501
930	-101.487
931	-100.547
932	-98.2229
933	-101.52
934	-108.088
935	-103.826
936	-111.245
937	-103.555
938	-102.062
939	-106.872
940	-109.488
941	-99.1438
942	-102.02
943	-107.839
944	-99.0437
945	-99.4899
946	-99.6223
947	-100.636
948	-99.8639
949	-101.577
950	-103.537
951	-105.154
952	-102.23
953	-107.878
954	-106.046
955	-106.198
956	-108.135
957	-106.46
958	-104.139
959	-103.349
960	-99.2497
961	-102.14
962	-108.955
963	-101.723
964	-100.11
965	-103.336
966	-104.437
967	-98.897
968	-98.9403
969	-95.4348
970	-99.9348
971	-98.6944
972	-98.7321
973	-113.011
974	-111.902
975	-104.29
976	-110.445
977	-108.946
978	-109.394
979	-114.872
980	-118.657
981	-125.508
982	-105.019
983	-104.327
984	-117.903
985	-101.678
986	-100.558
987	-104.648
988	-106.881
989	-105.923
990	-117.914
991	-112.739
992	-107.032
993	-107.453
994	-116.645
995	-107.196
996	-116.471
997	-117.057
998	-106.44
999	-111.869
1000	-106.206
1001	-105.754
1002	-112.688
1003	-101.616
1004	-98.5964
1005	-99.0021
1006	-103.239
1007	-112.223
1008	-108.702
1009	-105.224
1010	-105.584
1011	-109.139
1012	-107.98
1013	-101.24
1014	-107.28
1015	-111.277
1016	-104.598
1017	-109.247
1018	-111.349
1019	-105.419
1020	-109.139
1021	-111.276
1022	-103.487
1023	-105.519
