Time - Voltage (FFT - (RMS))	Amplitude - Voltage (FFT - (RMS))
0	-33.0159
1	-36.0275
2	-108.936
3	-111.072
4	-100.771
5	-97.5123
6	-107.787
7	-101.62
8	-98.6804
9	-109.993
10	-100.193
11	-101.147
12	-98.5954
13	-96.6006
14	-97.9639
15	-98.596
16	-102.872
17	-105.84
18	-102.551
19	-102.299
20	-108.219
21	-119.011
22	-104.829
23	-101.243
24	-97.3008
25	-100.85
26	-107.369
27	-116.04
28	-101.409
29	-106.012
30	-119.689
31	-108.251
32	-102.646
33	-106.117
34	-108.733
35	-104.63
36	-98.0095
37	-102.114
38	-116.902
39	-112.236
40	-103.946
41	-105.496
42	-95.1825
43	-101.131
44	-107.664
45	-108.98
46	-109.588
47	-101.457
48	-96.842
49	-107.457
50	-101.826
51	-107.545
52	-112.187
53	-101.199
54	-104.039
55	-106.342
56	-100.576
57	-98.8712
58	-101.446
59	-86.4729
60	-80.8655
61	-87.8934
62	-102.588
63	-101.775
64	-111.601
65	-100.096
66	-106.105
67	-99.995
68	-101.871
69	-96.2971
70	-95.4983
71	-95.3181
72	-94.3632
73	-97.6399
74	-109.923
75	-116.702
76	-108.926
77	-110.651
78	-99.1039
79	-99.6981
80	-105.632
81	-104.733
82	-108.459
83	-109.304
84	-115.916
85	-101.62
86	-105.323
87	-105.154
88	-110.882
89	-105.993
90	-103.03
91	-96.7816
92	-103.133
93	-109.969
94	-110.379
95	-100.781
96	-106.442
97	-112.53
98	-101.75
99	-96.601
100	-96.1349
101	-99.9803
102	-100.373
103	-116.911
104	-115.689
105	-100.997
106	-101.693
107	-109.418
108	-104.402
109	-107.949
110	-102.33
111	-103.999
112	-118.763
113	-109.831
114	-104.06
115	-116.754
116	-103.17
117	-97.8401
118	-96.3544
119	-101.838
120	-99.0608
121	-98.9768
122	-108.92
123	-110.711
124	-101.959
125	-97.1889
126	-105.703
127	-107.519
128	-103.973
129	-99.8206
130	-101.054
131	-109.468
132	-106.03
133	-109.713
134	-105.457
135	-103.187
136	-106.685
137	-105.117
138	-101.841
139	-101.621
140	-100.474
141	-108.664
142	-105.884
143	-104.561
144	-110.018
145	-103.34
146	-108.11
147	-101.162
148	-104.763
149	-102.502
150	-107.922
151	-105.685
152	-106.858
153	-105.095
154	-105.44
155	-102.322
156	-99.3986
157	-95.6413
158	-106.225
159	-102.775
160	-108.229
161	-101.25
162	-101.51
163	-96.9642
164	-94.6442
165	-100.658
166	-99.9655
167	-99.1512
168	-102.729
169	-98.5297
170	-98.5599
171	-100.322
172	-105.592
173	-93.7117
174	-94.3547
175	-97.3814
176	-92.4398
177	-94.7585
178	-87.4239
179	-94.9802
180	-82.2491
181	-87.1682
182	-83.7809
183	-78.5587
184	-77.2411
185	-76.1023
186	-71.8032
187	-68.3753
188	-64.5395
189	-59.4228
190	-53.244
191	-45.3254
192	-32.9543
193	3.02114
194	8.43598
195	1.79515
196	-34.4421
197	-46.2642
198	-53.8579
199	-59.9277
200	-64.8779
201	-68.9082
202	-72.0195
203	-75.093
204	-78.4726
205	-83.7662
206	-81.6945
207	-79.1733
208	-94.8755
209	-85.568
210	-95.5314
211	-89.5042
212	-92.0166
213	-96.5296
214	-94.012
215	-98.4012
216	-97.8104
217	-95.4215
218	-105.908
219	-103.567
220	-99.5559
221	-100.989
222	-108.503
223	-110.348
224	-103.125
225	-103.142
226	-93.1209
227	-99.0009
228	-98.0636
229	-102.423
230	-97.0171
231	-103.614
232	-102.67
233	-112.71
234	-112.13
235	-103.97
236	-102.987
237	-104.235
238	-101.492
239	-100.852
240	-112.321
241	-114.079
242	-102.622
243	-105.618
244	-108.289
245	-107.78
246	-102.691
247	-103.005
248	-105.913
249	-98.6641
250	-96.6315
251	-96.7098
252	-97.3203
253	-96.8762
254	-105.548
255	-106.302
256	-108.413
257	-110.387
258	-102.955
259	-109.695
260	-100.6
261	-104.216
262	-103.279
263	-107.247
264	-97.2619
265	-102.139
266	-102.835
267	-98.2532
268	-100.638
269	-124.944
270	-106.134
271	-102.701
272	-97.0687
273	-97.7121
274	-114.526
275	-106.349
276	-104.113
277	-104.021
278	-107.455
279	-116.921
280	-108.432
281	-107.127
282	-99.4678
283	-109.662
284	-98.2375
285	-96.8766
286	-105.67
287	-100.366
288	-94.9449
289	-102.049
290	-102.571
291	-116.247
292	-105.374
293	-112.491
294	-105.206
295	-103.202
296	-100.641
297	-95.3993
298	-94.5841
299	-95.8098
300	-96.4205
301	-104.706
302	-107.431
303	-121.497
304	-110.937
305	-111.027
306	-102.963
307	-98.7819
308	-103.859
309	-101.667
310	-98.1359
311	-99.6643
312	-113.206
313	-109.791
314	-100.889
315	-99.055
316	-103.114
317	-103.855
318	-94.0682
319	-96.2707
320	-102.997
321	-102.036
322	-101.032
323	-99.5625
324	-102.089
325	-104.537
326	-120.176
327	-102.966
328	-109.681
329	-111.131
330	-100.136
331	-101.2
332	-101.826
333	-104.817
334	-116.475
335	-106.1
336	-100.294
337	-102.288
338	-106.175
339	-103.516
340	-104.337
341	-109.126
342	-107.97
343	-114.163
344	-103.237
345	-102.258
346	-105.563
347	-97.727
348	-96.7294
349	-104.171
350	-101.171
351	-102.724
352	-99.2541
353	-101.865
354	-107.484
355	-99.1583
356	-100.428
357	-108.286
358	-108.483
359	-104.43
360	-105.415
361	-102.284
362	-101.25
363	-104.199
364	-100.867
365	-106.42
366	-101.096
367	-98.6787
368	-101.975
369	-101.05
370	-97.4058
371	-99.9484
372	-101.706
373	-102.268
374	-105.36
375	-109.937
376	-122.88
377	-112.639
378	-103.505
379	-100.78
380	-111.583
381	-108.399
382	-106.172
383	-98.8042
384	-97.3403
385	-98.7053
386	-99.8681
387	-73.8032
388	-68.98
389	-76.5016
390	-98.7478
391	-115.263
392	-107.641
393	-102.417
394	-108.284
395	-101.965
396	-97.283
397	-96.2866
398	-101.53
399	-106.817
400	-105.499
401	-98.9795
402	-98.5476
403	-114.501
404	-108.983
405	-102.664
406	-107.914
407	-115.45
408	-109.45
409	-100.645
410	-95.6515
411	-95.6343
412	-100.465
413	-102.058
414	-101.904
415	-102.934
416	-102.04
417	-98.5406
418	-102.39
419	-106.316
420	-117.547
421	-108.03
422	-99.7684
423	-96.8695
424	-96.5678
425	-98.5948
426	-105.124
427	-112.915
428	-115.799
429	-101.093
430	-97.8061
431	-104.601
432	-97.6147
433	-105.054
434	-103.63
435	-100.11
436	-101.238
437	-110.024
438	-116.757
439	-107.72
440	-105.999
441	-107.986
442	-110.694
443	-106.731
444	-101.112
445	-105.569
446	-104.972
447	-97.4224
448	-96.2333
449	-99.7541
450	-107.492
451	-107.174
452	-107.645
453	-103.544
454	-105.891
455	-114.458
456	-109.337
457	-98.2753
458	-99.8235
459	-103.241
460	-100.565
461	-116.498
462	-109.61
463	-111.186
464	-108.746
465	-105.178
466	-105.37
467	-100.531
468	-101.979
469	-97.4853
470	-95.0018
471	-96.9292
472	-101.349
473	-106.894
474	-125.105
475	-104.249
476	-101.708
477	-103.549
478	-105.849
479	-107.04
480	-104.299
481	-103.05
482	-104.264
483	-104.067
484	-99.0427
485	-96.9587
486	-101.62
487	-107.507
488	-108.597
489	-120.025
490	-107.336
491	-97.8311
492	-95.3655
493	-94.5855
494	-97.1599
495	-106.019
496	-104.761
497	-105.358
498	-107.428
499	-100.284
500	-99.9118
501	-101.83
502	-104.002
503	-105.95
504	-102.115
505	-99.2772
506	-102.4
507	-101.85
508	-104.449
509	-113.644
510	-113.05
511	-117.259
512	-102.182
513	-101.39
514	-110.586
515	-101.876
516	-101.301
517	-103.672
518	-105.455
519	-112.827
520	-100.923
521	-101.163
522	-107.289
523	-99.7867
524	-94.9234
525	-98.0277
526	-104.41
527	-104.706
528	-104.052
529	-108.002
530	-105.499
531	-110.016
532	-105.742
533	-104.927
534	-105.168
535	-104.965
536	-101.589
537	-103.159
538	-99.4046
539	-113.394
540	-106.504
541	-102.763
542	-99.2354
543	-100.102
544	-101.655
545	-99.646
546	-105.767
547	-112.76
548	-109.225
549	-114.623
550	-105.113
551	-105.32
552	-102.619
553	-113.722
554	-97.6648
555	-94.7845
556	-97.7861
557	-106.473
558	-103.725
559	-100.901
560	-105.386
561	-118.506
562	-112.093
563	-99.799
564	-99.3328
565	-99.8582
566	-100.54
567	-102.962
568	-103.133
569	-101.624
570	-110.058
571	-106.239
572	-101.93
573	-100.662
574	-110.827
575	-102.692
576	-99.263
577	-99.6423
578	-106.628
579	-100.212
580	-89.69
581	-62.7518
582	-58.448
583	-66.3293
584	-94.8402
585	-94.645
586	-97.5332
587	-99.4638
588	-102.704
589	-104.418
590	-108.116
591	-111.075
592	-109.139
593	-107.368
594	-106.542
595	-101.445
596	-107.255
597	-109.05
598	-100.881
599	-101.329
600	-105.063
601	-103.986
602	-104.791
603	-110.826
604	-112.399
605	-110.546
606	-103.716
607	-104.434
608	-97.392
609	-99.4244
610	-104.854
611	-109.551
612	-102.542
613	-116.559
614	-110.437
615	-111.186
616	-108.232
617	-104.212
618	-96.5824
619	-102.308
620	-102.162
621	-105.035
622	-103.099
623	-115.686
624	-99.1882
625	-100.54
626	-113.791
627	-102.8
628	-105.221
629	-100.612
630	-109.301
631	-104.346
632	-105.315
633	-102.947
634	-99.7808
635	-102.895
636	-98.5716
637	-96.0278
638	-98.2419
639	-98.5609
640	-90.9265
641	-88.9341
642	-112.358
643	-96.1746
644	-98.8782
645	-104.708
646	-110.945
647	-96.888
648	-95.2825
649	-100.972
650	-96.3902
