Time - Voltage (FFT - (RMS))	Amplitude - Voltage (FFT - (RMS))
0	-33.2383
1	-35.858
2	-56.5121
3	-63.0275
4	-96.6532
5	-82.6724
6	-76.7914
7	-41.202
8	-34.3548
9	-39.5079
10	-69.7624
11	-74.5808
12	-69.7788
13	-75.7844
14	-87.6762
15	-83.6295
16	-81.2337
17	-69.3632
18	-63.8864
19	-67.8819
20	-75.27
21	-76.9924
22	-78.0242
23	-82.1668
24	-93.1784
25	-85.0402
26	-79.798
27	-74.5408
28	-73.3197
29	-69.6906
30	-66.9153
31	-71.3293
32	-82.5711
33	-89.4703
34	-79.2424
35	-80.0829
36	-73.4075
37	-74.9939
38	-77.3149
39	-50.6409
40	-45.6351
41	-52.3046
42	-84.7507
43	-78.9209
44	-80.1585
45	-64.4555
46	-61.7476
47	-61.8525
48	-73.3414
49	-54.669
50	-52.1567
51	-52.9688
52	-51.8755
53	-43.7961
54	-32.2121
55	1.28547
56	8.1632
57	2.97269
58	-30.1204
59	-42.7804
60	-50.4394
61	-57.2357
62	-61.4548
63	-67.1026
64	-67.6067
65	-72.8109
66	-59.502
67	-67.9739
68	-73.1534
69	-77.1042
70	-72.329
71	-81.1936
72	-82.8669
73	-94.9711
74	-78.2064
75	-78.0399
76	-72.4369
77	-71.0496
78	-68.2129
79	-72.6846
80	-80.8427
81	-64.8323
82	-61.2628
83	-72.3915
84	-72.2018
85	-75.4601
86	-74.6277
87	-57.1694
88	-52.3555
89	-58.9346
90	-84.0421
91	-82.9938
92	-84.6019
93	-69.4396
94	-63.2283
95	-67.5987
96	-75.2196
97	-49.0814
98	-43.9716
99	-50.7301
100	-84.4004
101	-81.1271
102	-72.7485
103	-37.9084
104	-31.0506
105	-36.2285
106	-67.9034
107	-71.1593
108	-65.6953
109	-71.717
110	-85.5846
111	-75.5817
112	-69.0574
113	-61.6417
114	-57.1646
115	-62.0615
116	-76.3596
117	-75.6916
118	-75.1822
119	-82.0925
120	-86.3496
121	-86.8103
122	-82.7613
123	-75.5657
124	-70.4458
