Time - Voltage (Resampled)	Amplitude - Voltage (Resampled)
0	1.7721
0.01	1.71159
0.02	1.67041
0.03	1.65032
0.04	1.65633
0.05	1.67096
0.06	1.61617
0.07	1.66738
0.08	1.61996
0.09	1.56264
0.1	0.623228
0.11	2.53077
0.12	0.395109
0.13	1.81127
0.14	2.33702
0.15	0.208878
0.16	2.36248
0.17	0.952342
0.18	0.852714
0.19	2.57193
0.2	0.367418
0.21	2.05305
0.22	1.88565
0.23	0.20549
0.24	2.45988
0.25	0.737478
0.26	1.39178
0.27	2.5889
0.28	0.31573
0.29	2.22332
0.3	1.65859
0.31	0.718247
0.32	2.5225
0.33	0.854355
0.34	1.76236
0.35	2.28485
0.36	0.860127
0.37	2.31918
0.38	1.58986
0.39	1.35429
0.4	2.25276
0.41	1.28609
0.42	1.82785
0.43	1.87744
0.44	1.39526
0.45	1.97239
0.46	1.59694
0.47	1.6281
0.48	1.87258
0.49	1.54226
0.5	1.77149
0.51	1.73529
0.52	1.60653
0.53	1.78848
0.54	1.66466
0.55	1.68158
0.56	1.75214
0.57	1.65406
0.58	1.71493
0.59	1.72397
0.6	1.66176
0.61	1.72796
0.62	1.70235
0.63	1.67498
0.64	1.73115
0.65	1.68724
0.66	1.68985
0.67	1.72745
0.68	1.6754
0.69	1.70888
0.7	1.71526
0.71	1.67183
0.72	1.72695
0.73	1.69472
0.74	1.68532
0.75	1.72877
0.76	1.67412
0.77	1.71003
0.78	1.71316
0.79	1.67268
0.8	1.72854
0.81	1.69115
0.82	1.68999
0.83	1.72555
0.84	1.67525
0.85	1.7151
0.86	1.70671
0.87	1.67936
0.88	1.72375
0.89	1.68793
0.9	1.69967
0.91	1.71571
0.92	1.68317
0.93	1.71392
0.94	1.70039
0.95	1.68908
0.96	1.71674
0.97	1.68978
