Time - Voltage (FFT - (RMS))	Amplitude - Voltage (FFT - (RMS))
0	4.43602
1.020408	1.68874
2.040816	-28.2723
3.061224	-31.8436
4.081633	-37.4439
5.102041	-41.8751
6.122449	-42.0058
7.142857	-43.8214
8.163265	-48.7909
9.183673	-54.5966
10.204082	-53.3649
11.22449	-54.1833
12.244898	-57.117
13.265306	-60.5335
14.285714	-63.3564
15.306122	-64.6054
16.326531	-71.0826
17.346939	-68.1705
18.367347	-63.9438
19.387755	-69.7992
20.408163	-62.4425
21.428571	-56.7809
22.44898	-55.2143
23.469388	-60.9117
24.489796	-58.4368
25.510204	-54.1355
26.530612	-58.3767
27.55102	-57.0392
28.571429	-53.0129
29.591837	-47.4523
30.612245	-49.9987
31.632653	-47.7917
32.653061	-43.0642
33.673469	-41.1582
34.693878	-31.0181
35.714286	-21.1037
36.734694	-14.4915
37.755102	-12.0184
38.77551	-13.2553
39.795918	-17.8427
40.816327	-27.0158
41.836735	-39.4389
42.857143	-44.5706
43.877551	-45.6882
44.897959	-55.3688
45.918367	-60.0669
46.938776	-59.7557
47.959184	-57.101
48.979592	-53.2497
50	-53.9919
51.020408	-58.4116
52.040816	-59.8686
53.061224	-55.8383
54.081633	-56.6967
55.102041	-58.1793
56.122449	-56.744
57.142857	-55.2137
58.163265	-56.6819
59.183673	-58.4623
60.204082	-57.9101
61.22449	-55.1418
62.244898	-53.0086
63.265306	-52.7227
64.285714	-55.6433
65.306122	-72.2315
66.326531	-59.6293
67.346939	-55.2991
68.367347	-54.5861
69.387755	-52.3671
70.408163	-49.0676
71.428571	-46.4795
72.44898	-44.6742
73.469388	-43.0084
74.489796	-41.2417
75.510204	-39.9633
76.530612	-39.7954
77.55102	-40.8663
78.571429	-42.9999
79.591837	-45.9854
80.612245	-49.2169
81.632653	-52.0551
82.653061	-56.124
83.673469	-62.7937
84.693878	-60.3169
85.714286	-59.3936
86.734694	-62.2602
87.755102	-67.9764
88.77551	-65.3238
89.795918	-60.0403
90.816327	-56.943
91.836735	-55.2433
92.857143	-55.1474
93.877551	-54.6205
94.897959	-52.4777
95.918367	-51.222
96.938776	-52.0203
97.959184	-55.0722
98.979592	-55.3285
100	-54.9033
101.020408	-55.8916
102.040816	-58.3607
103.061224	-56.1846
104.081633	-54.1727
105.102041	-53.8805
106.122449	-56.0412
107.142857	-60.1852
108.163265	-59.9567
109.183673	-53.8907
110.204082	-46.6867
111.22449	-41.6491
112.244898	-38.4291
113.265306	-37.0237
114.285714	-37.0867
115.306122	-38.5885
116.326531	-41.4559
117.346939	-46.0596
118.367347	-53.6463
119.387755	-66.9103
120.408163	-67.8405
121.428571	-66.9563
122.44898	-67.8722
123.469388	-68.1035
124.489796	-72.7662
