Time - Voltage (FFT - (RMS))	Amplitude - Voltage (FFT - (RMS))
0	4.43039
1.024	1.6712
2.048	-28.2737
3.072	-31.6278
4.096	-36.8969
5.12	-41.7963
6.144	-42.715
7.168	-44.6492
8.192	-50.1818
9.216	-56.4641
10.24	-53.4952
11.264	-54.7298
12.288	-60.0206
13.312	-72.6268
14.336	-65.9652
15.36	-72.1208
16.384	-72.7794
17.408	-66.9439
18.432	-69.9827
19.456	-62.2787
20.48	-57.0853
21.504	-57.0219
22.528	-58.847
23.552	-62.3398
24.576	-52.0746
25.6	-49.9881
26.624	-59.3592
27.648	-56.2053
28.672	-50.4389
29.696	-46.3259
30.72	-46.4429
31.744	-44.346
32.768	-42.5085
33.792	-44.9924
34.816	-30.5602
35.84	-21.1775
36.864	-14.4477
37.888	-11.8202
38.912	-13.2012
39.936	-17.7677
40.96	-26.3288
41.984	-40.5747
43.008	-43.8185
44.032	-44.5277
45.056	-51.2027
46.08	-55.8547
47.104	-53.2184
48.128	-51.321
49.152	-53.7355
50.176	-53.1186
51.2	-53.359
52.224	-56.4694
53.248	-56.5076
54.272	-54.6259
55.296	-54.7376
56.32	-56.6786
57.344	-58.5153
58.368	-57.1569
59.392	-56.8812
60.416	-58.9048
61.44	-60.3679
62.464	-58.5755
63.488	-59.6987
64.512	-68.9242
65.536	-60.1307
66.56	-53.9499
67.584	-52.7379
68.608	-53.7997
69.632	-52.6168
70.656	-48.9672
71.68	-46.431
72.704	-44.9286
73.728	-43.3108
74.752	-41.6183
75.776	-40.276
76.8	-39.5418
77.824	-39.7401
78.848	-41.5738
79.872	-45.5344
80.896	-50.5222
81.92	-52.8509
82.944	-53.941
83.968	-57.1763
84.992	-62.9795
86.016	-60.8066
87.04	-60.7038
88.064	-65.3263
89.088	-78.6074
90.112	-65.2549
91.136	-63.2279
92.16	-64.7029
93.184	-63.4305
94.208	-61.6997
95.232	-61.8662
96.256	-64.7936
97.28	-64.5995
98.304	-60.4
99.328	-59.7877
100.352	-61.8609
101.376	-71.0464
102.4	-65.2845
103.424	-62.3435
104.448	-60.6968
105.472	-58.8692
106.496	-56.0778
107.52	-57.1792
108.544	-62.1145
109.568	-52.0574
110.592	-44.496
111.616	-40.1624
112.64	-37.7096
113.664	-36.774
114.688	-37.1712
115.712	-38.9893
116.736	-42.1985
117.76	-46.9259
118.784	-53.8051
119.808	-64.6794
120.832	-75.0898
121.856	-80.4285
122.88	-72.0805
123.904	-66.4812
124.928	-66.6466
125.952	-73.8971
126.976	-72.6092
128	-66.73
129.024	-64.9281
130.048	-67.2001
131.072	-71.7056
132.096	-75.4551
133.12	-69.3744
134.144	-69.102
135.168	-71.5553
136.192	-72.7984
137.216	-70.1199
138.24	-70.6983
139.264	-77.2414
140.288	-75.8918
141.312	-68.2564
142.336	-64.3172
143.36	-62.5842
144.384	-63.3026
145.408	-63.122
146.432	-62.2181
147.456	-59.9775
148.48	-57.5464
149.504	-55.9363
150.528	-55.5075
151.552	-55.5993
152.576	-55.4757
153.6	-54.7142
154.624	-53.5694
155.648	-53.0328
156.672	-53.6902
157.696	-55.3553
158.72	-58.1312
159.744	-60.7142
160.768	-63.3502
161.792	-65.948
162.816	-67.1718
163.84	-68.8068
164.864	-72.9534
165.888	-84.0439
166.912	-76.0243
167.936	-71.8971
168.96	-70.6151
169.984	-73.8904
171.008	-74.8903
172.032	-72.4614
173.056	-70.5945
174.08	-70.3451
175.104	-70.0096
176.128	-74.6157
177.152	-87.6933
178.176	-74.585
179.2	-72.3389
180.224	-74.5362
181.248	-71.1916
182.272	-69.7983
183.296	-72.6464
184.32	-70.2165
185.344	-60.9758
186.368	-55.6567
187.392	-52.7288
188.416	-51.7412
189.44	-52.1941
190.464	-54.0699
191.488	-55.7021
192.512	-55.9931
193.536	-57.259
194.56	-61.2587
195.584	-69.7366
196.608	-76.9426
197.632	-74.6752
198.656	-82.4821
199.68	-72.5174
200.704	-67.5986
201.728	-66.6948
202.752	-69.0606
203.776	-73.7568
204.8	-75.4468
205.824	-72.4278
206.848	-75.7488
207.872	-76.4455
208.896	-82.3915
209.92	-78.9179
210.944	-80.1169
211.968	-82.1768
212.992	-80.2571
214.016	-78.2754
215.04	-77.762
216.064	-77.6093
217.088	-76.3565
218.112	-75.1693
219.136	-75.8899
220.16	-73.5861
221.184	-73.7579
222.208	-72.5245
223.232	-69.6564
224.256	-67.9087
225.28	-67.1888
226.304	-67.439
227.328	-67.8278
228.352	-65.9166
229.376	-62.6294
230.4	-60.8966
231.424	-60.5788
232.448	-62.0396
233.472	-65.8098
234.496	-70.1788
235.52	-75.4522
236.544	-73.8505
