Time (Sec),D

0,0
1.11E-06,-1.85E-04
1.57E-06,-2.61E-04
2.03E-06,-3.36E-04
3.05E-06,-5.07E-04
4.08E-06,-6.77E-04
4.54E-06,-7.53E-04
5.11E-06,-8.48E-04
6.02E-06,-9.99E-04
7.05E-06,-1.17E-03
7.50E-06,-1.25E-03
8.07E-06,-1.34E-03
9.10E-06,-1.51E-03
1.00E-05,-1.66E-03
1.06E-05,-1.76E-03
1.10E-05,-1.83E-03
1.21E-05,-2.00E-03
1.31E-05,-2.17E-03
1.36E-05,-2.25E-03
1.40E-05,-2.33E-03
1.50E-05,-2.50E-03
1.61E-05,-2.67E-03
1.65E-05,-2.74E-03
1.71E-05,-2.84E-03
1.80E-05,-2.99E-03
1.90E-05,-3.16E-03
1.96E-05,-3.25E-03
2.01E-05,-3.33E-03
2.11E-05,-3.50E-03
2.21E-05,-3.66E-03
2.26E-05,-3.74E-03
2.30E-05,-3.81E-03
2.41E-05,-3.98E-03
2.51E-05,-4.15E-03
2.55E-05,-4.22E-03
2.61E-05,-4.32E-03
2.70E-05,-4.47E-03
2.80E-05,-4.63E-03
2.85E-05,-4.71E-03
2.91E-05,-4.80E-03
3.01E-05,-4.96E-03
3.10E-05,-5.11E-03
3.16E-05,-5.20E-03
3.20E-05,-5.28E-03
3.31E-05,-5.44E-03
3.41E-05,-5.60E-03
3.46E-05,-5.67E-03
3.50E-05,-5.75E-03
3.60E-05,-5.91E-03
3.71E-05,-6.07E-03
3.75E-05,-6.14E-03
3.81E-05,-6.23E-03
3.90E-05,-6.38E-03
4.00E-05,-6.54E-03
4.06E-05,-6.63E-03
4.11E-05,-6.70E-03
4.21E-05,-6.86E-03
4.31E-05,-7.02E-03
4.36E-05,-7.09E-03
4.40E-05,-7.16E-03
4.50E-05,-7.32E-03
4.61E-05,-7.48E-03
4.65E-05,-7.55E-03
4.71E-05,-7.64E-03
4.80E-05,-7.78E-03
4.90E-05,-7.94E-03
4.95E-05,-8.01E-03
5.01E-05,-8.09E-03
5.11E-05,-8.25E-03
5.20E-05,-8.38E-03
5.26E-05,-8.47E-03
5.30E-05,-8.54E-03
5.41E-05,-8.69E-03
5.51E-05,-8.84E-03
5.55E-05,-8.91E-03
5.60E-05,-8.98E-03
5.70E-05,-9.13E-03
5.81E-05,-9.28E-03
5.85E-05,-9.35E-03
5.91E-05,-9.43E-03
6.01E-05,-9.58E-03
6.10E-05,-9.71E-03
6.16E-05,-9.79E-03
6.21E-05,-9.85E-03
6.31E-05,-9.99E-03
6.41E-05,-1.01E-02
6.46E-05,-1.02E-02
6.50E-05,-1.03E-02
6.60E-05,-1.04E-02
6.71E-05,-1.05E-02
6.75E-05,-1.06E-02
6.81E-05,-1.07E-02
6.90E-05,-1.08E-02
7.00E-05,-1.09E-02
7.06E-05,-1.10E-02
7.11E-05,-1.11E-02
7.21E-05,-1.12E-02
7.30E-05,-1.13E-02
7.36E-05,-1.14E-02
7.40E-05,-1.15E-02
7.51E-05,-1.16E-02
7.61E-05,-1.17E-02
7.65E-05,-1.18E-02
7.70E-05,-1.19E-02
7.80E-05,-1.20E-02
7.91E-05,-1.21E-02
7.95E-05,-1.22E-02
8.01E-05,-1.22E-02
8.11E-05,-1.24E-02
8.20E-05,-1.25E-02
8.26E-05,-1.25E-02
8.30E-05,-1.26E-02
8.41E-05,-1.27E-02
8.51E-05,-1.28E-02
8.56E-05,-1.29E-02
8.60E-05,-1.29E-02
8.70E-05,-1.30E-02
8.81E-05,-1.32E-02
8.85E-05,-1.32E-02
8.91E-05,-1.33E-02
9.00E-05,-1.34E-02
9.10E-05,-1.35E-02
9.16E-05,-1.35E-02
9.21E-05,-1.36E-02
9.31E-05,-1.37E-02
9.40E-05,-1.38E-02
9.46E-05,-1.38E-02
9.50E-05,-1.39E-02
9.61E-05,-1.40E-02
9.71E-05,-1.41E-02
9.75E-05,-1.41E-02
9.81E-05,-1.42E-02
9.90E-05,-1.42E-02
1.00E-04,-1.43E-02
1.01E-04,-1.44E-02
1.01E-04,-1.44E-02
1.02E-04,-1.45E-02
1.03E-04,-1.46E-02
1.04E-04,-1.46E-02
1.04E-04,-1.47E-02
1.05E-04,-1.48E-02
1.06E-04,-1.49E-02
1.07E-04,-1.49E-02
1.07E-04,-1.49E-02
1.08E-04,-1.50E-02
1.09E-04,-1.51E-02
